instance, min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s)
scp41,11.818,12.737,0.858,11.111,11.893,0.617,11.361,12.188,1.123,8.98,10.293,1.07,8.182,10.495,3.614
scp410,11.038,11.038,0.0,9.679,9.679,0.0,11.19,11.19,0.0,8.836,8.836,0.0,7.908,8.186,0.289
scp42,11.241,11.241,0.0,9.752,9.752,0.0,10.832,10.832,0.0,8.867,8.867,0.0,7.966,11.076,4.869
scp43,11.384,11.384,0.0,9.786,9.786,0.0,11.329,11.329,0.0,8.75,8.75,0.0,7.985,10.978,4.742
scp44,10.882,10.882,0.0,9.816,9.816,0.0,11.568,11.568,0.0,8.619,8.619,0.0,8.003,10.486,3.665
scp45,11.585,11.585,0.0,12.35,12.35,0.0,11.722,11.722,0.0,11.199,11.199,0.0,8.513,8.585,0.052
scp46,11.58,11.58,0.0,10.223,10.223,0.0,12.223,12.223,0.0,8.588,8.588,0.0,8.025,8.13,0.074
scp47,11.011,11.011,0.0,9.885,9.885,0.0,11.055,11.055,0.0,8.9,8.9,0.0,7.738,8.085,0.25
scp48,12.243,12.243,0.0,10.673,10.673,0.0,11.506,11.506,0.0,10.575,10.575,0.0,7.921,8.217,0.302
scp49,11.746,11.746,0.0,11.213,11.213,0.0,11.592,11.592,0.0,10.01,10.01,0.0,8.068,8.363,0.286